text,created_at,id,username,retweet_count,like_count,source
"Kita hanya akan betul-betul pulih dan aman dari Covid-19 jika semua negara telah pulih. Ini saya ingatkan kepada pemimpin negara G-20 peserta KTT Kesehatan Global, semalam. No one is safe until everyone is.

Masalahnya, kesenjangan masih lebar antara negara kaya dan berkembang. https://t.co/uNFJGVXYMC",2021-05-22 02:41:32,1395932813388513281,jokowi,684,5512,Twitter for Android
"Program Literasi Digital Nasional yang saya luncurkan hari ini penting mengingat literasi digital ini adalah kerja besar kita, pemerintah dan seluruh komponen bangsa. 

Saya berharap gerakan ini terus menggelinding, membesar, dan mendorong berbagai inisiatif di tempat lain. https://t.co/7UPc6BKP1C",2021-05-20 09:41:36,1395313749121064960,jokowi,329,2434,Twitter Web App
"Mengapa literasi digital itu penting?

https://t.co/Va64hc7hSA",2021-05-20 08:59:47,1395303227231408131,jokowi,356,3205,Twitter for Android
"Karena itulah, saya selalu menekankan kepada para kepala daerah, untuk terus memantau indikator pengendalian pandemi di daerah masing-masing. 

Dengan begitu, pemerintah daerah dapat segera menyiapkan langkah taktis dan terukur dalam menekan penyebaran kasus di wilayah mereka.",2021-05-20 05:25:36,1395249325379186694,jokowi,100,918,Twitter for Android
"Tingkat keterisian tempat tidur untuk perawatan (Bed Occupancy Ratio/BOR) RS Darurat Wisma Atlet Kemayoran pernah sampai 90%. Angka tersebut berangsur turun dan kemarin, BOR Wisma Atlet tinggal 15%. 

Akan tetapi, pandemi Covid-19 belum berakhir. Kita tidak boleh lengah. https://t.co/RhotcGA9SW",2021-05-20 05:25:21,1395249262666010625,jokowi,399,3191,Twitter for Android
"Lebih setahun dunia dicengkeram pandemi global Covid-19, lebih setahun pula Indonesia berjuang membendung segala dampaknya. 

Hari ini, dengan semangat Budi Utomo, kita bergotong-royong untuk bangkit dan menang melawan pandemi, dan bersama-sama melangkah menuju Indonesia maju. https://t.co/OBWF9Dflxk",2021-05-20 01:01:19,1395182819131813888,jokowi,966,5573,Twitter for Android
"Saya meninjau langsung vaksinasi massal Covid-19 di dua provinsi hari ini, yakni di Riau dan Riau Kepulauan. 

Vaksinasi massal di Riau digelar di sebuah gelanggang olahraga di Kota Pekanbaru, sementara di Kepri, kegiatan serupa berlangsung di Bintan Inti Industrial Estate. https://t.co/QT660CYpbE",2021-05-19 11:30:57,1394978879572484101,jokowi,248,2521,Twitter for Android
"Pembangunan jalan tol ruas Pekanbaru-Padang seksi Pekanbaru-Bangkinang sudah mencapai 65,6%. Panjang jalan tol seksi ini 40km dan jadi bagian dari tol Trans-Sumatra dari Aceh hingga Lampung sepanjang 3.049km. 

Pembangunannya bisa menyerap 11.984 tenaga kerja. https://t.co/H9ra4aLrbp",2021-05-19 06:08:31,1394897738295246849,jokowi,712,7749,Twitter for Android
"Saya bertolak ke Sumatra pagi ini untuk kunjungan kerja ke provinsi Riau dan Riau Kepulauan.

Saya hendak meninjau perkembangan pembangunan konstruksi Tol Trans-Sumatra, bertemu para kepala daerah, serta melihat dari dekat pelaksanaan vaksinasi massal bagi para pelayan publik. https://t.co/BIh3jtRlK0",2021-05-19 02:31:00,1394843000375635968,jokowi,334,3739,Twitter for Android
"Pembangunan konstruksi kereta cepat Jakarta-Bandung telah mencapai 73 persen. Jika tak ada halangan, sudah akan diujicobakan pada akhir tahun 2022. Panjang rute kereta cepat ini adalah 142,3 km yang dapat ditempuh hanya dalam waktu 46 menit. https://t.co/TNTSqYd30p",2021-05-19 01:04:00,1394821104452071424,jokowi,688,4689,Twitter for Android
"Mudik Lebaran ditiadakan tapi saya memperoleh data sebanyak 1,5 juta orang tetap mudik pada 6-17 Mei 2021. 

Mengingat kasus Covid-19 selalu meningkat selepas libur, saya mengingatkan para kepala daerah se-Indonesia, agar siap mengambil langkah antisipasi naiknya kasus di daerah. https://t.co/hMxiKcCu5o",2021-05-18 11:03:06,1394609487118430208,jokowi,589,4877,Twitter for Android
"Saya berharap, kereta cepat ini dapat terintegrasi dengan moda transportasi lain seperti LRT dan MRT di Jakarta. 

Selain itu, dari pembangunan kereta cepat ini kita harapkan ada transfer teknologi. Jadi, SDM kita mampu menangkap dan mengambil ilmu dari pembangunan KCJB.",2021-05-18 09:17:39,1394582946355445761,jokowi,132,1455,Twitter for Android
"Pembangunan kereta cepat Jakarta-Bandung telah mencapai kisaran 73% dan jika tak ada aral melintang, selesai pada akhir 2022.

Rangkaian KCJB bermula dari Stasiun Halim, Jakarta dan berakhir di Stasiun Tegalluar, Bandung dengan panjang rute 142,3 km, serta waktu tempuh 46 menit. https://t.co/74MqCb84vI",2021-05-18 09:17:38,1394582944384045056,jokowi,1090,8178,Twitter for Android
"Program vaksinasi Covid-19 Gotong Royong dimulai hari ini dari Kawasan Industri Jababeka, Cikarang, Jawa Barat. 

Sebanyak 18 perusahaan serentak melaksanakan vaksinasi kepada seluruh manajemen, karyawan, dan pekerjanya atas tanggungan masing-masing perusahaan. https://t.co/fivML0Towc",2021-05-18 06:16:47,1394537430963810306,jokowi,332,2920,Twitter for Android
"KPK harus memiliki sumber daya manusia terbaik dan berkomitmen tinggi dalam upaya pemberantasan korupsi. 

Pengalihan status pegawai KPK menjadi ASN harus menjadi bagian dari upaya untuk pemberantasan korupsi yang lebih sistematis.",2021-05-17 10:39:55,1394241261737889795,jokowi,189,1715,Twitter for Android
"Saya sependapat dengan pertimbangan Mahkamah Konstitusi, bahwa proses pengalihan status pegawai KPK menjadi ASN tidak boleh merugikan hak pegawai KPK untuk diangkat menjadi ASN. 

Saya minta kepada para pihak yang terkait untuk merancang tindak lanjut bagi 75 pegawai KPK ini.",2021-05-17 10:39:54,1394241260030812163,jokowi,207,1782,Twitter for Android
"Saya berpendapat, hasil tes wawasan kebangsaan terhadap pegawai KPK, hendaknya tidak serta-merta jadi dasar untuk memberhentikan 75 pegawai yang dinyatakan tidak lulus tes. 

Kalau ada kekurangan, tentu bisa diperbaiki melalui pendidikan kedinasan tentang wawasan kebangsaan. https://t.co/rntwzBZF6V",2021-05-17 10:39:54,1394241257858211843,jokowi,1257,9353,Twitter for Android
We re-iterate our solidarity to the Palestinian people and full support to the creation of an independent and sovereign State of Palestine.,2021-05-16 12:51:28,1393911979073445893,jokowi,409,2973,Twitter for Android
"This afternoon, together with the Prime Minister of Malaysia and Sultan of Brunei Darussalam, we released a Joint Statement on the Escalation of Violence by Israelis in the Occupied Palestinian Territory (16/05). https://t.co/RmE00bVDv8",2021-05-16 12:51:27,1393911976691044354,jokowi,2079,7998,Twitter for Android
"Indonesia strongly condemns Israeli’s attacks which has resulted in the loss of lives of hundreds, including women and children. Israel aggression must be put to a stop.",2021-05-15 08:26:11,1393482830328463364,jokowi,688,3714,Twitter for Android
"We spoke about global developments, including the follow-up of ASEAN Leaders Meeting #ALM, developments in Afghanistan and the very worisome situation in Palestine",2021-05-15 08:26:10,1393482828692611073,jokowi,265,2880,Twitter for Android
"In the last few days, I spoke to President of Turkey, Yang Dipertuan Agong Malaysia, PM of Singapore, President of Afghanistan, Sultan Brunei Darussalam and PM of Malaysia (15/05)",2021-05-15 08:26:10,1393482827371483140,jokowi,724,5689,Twitter for Android
