nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
RedDoorz near Graha Saba UGM,"<span itemprop=""address"">Manggung, Caturtunggal, Depok Sub-District, Sleman Regency, Special Region of Yogyakarta </span>",9,27
D'Paragon Karangmalang,"<span itemprop=""address"">Blk. B, Jl. Karangmalang No. 17, Karang Gayam, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,6
RedDoorz Plus near Taman Sari,"<span itemprop=""address"">Jl. Empu Tantular No. 1000B, Gedong Kiwo, Mantrijeron, Yogyakarta, Indonesia</span>",2,2
D'Paragon Kemuning,"<span itemprop=""address"">Jl. Kemuning III, Perumnas Condong Catur, Condongcatur, Depok, Sleman, DI Yogyakarta, Indonesia</span>",0,0
Hotel Horaios Malioboro,"<span itemprop=""address"">Jl. Gowongan Kidul No. 57, Gedongtengen, Yogyakarta, Indonesia</span>",2,2
RedDoorz near Jogja City Mall 3,"<span itemprop=""address"">Jl. Kragilan, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",2,2
Yellow Star Ambarukmo Hotel,"<span itemprop=""address"">Jl. Laksda Adisucipto No. 23, Ambarukmo, Sleman, Yogyakarta, Indonesia</span>",2,2
RedDoorz near Padang Golf Adisucipto,"<span itemprop=""address"">Jl. Sekarsuli - Berbah, Potorono, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",6,18
D'Paragon Pogung B,"<span itemprop=""address"">Gg. Dandang Gulo, Pogung Kidul, Sinduadi, Kec. Mlati, Kab. Sleman, Yogyakarta, Indonesia</span>",2,6
The Grand Palace Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mangkuyudan No.32, Prawirotaman, Yogyakarta, Indonesia</span>",12,12
RedDoorz @ Omah Kayu Homestay,"<span itemprop=""address"">Jl. Ringroad Selatan No.92, Saman, Bangunharjo, Kec. Sewon, Bantul, Daerah Istimewa Yogyakarta</span>",5,10
Ngampilan Residence by TURU,"<span itemprop=""address"">Jl. Letjen Suprapto No. 119, Ngampilan, Pringgokusuman, Gedong Tengen, Yogyakarta, Indonesia</span>",3,9
KoolKost Syariah near Universitas Ahmad Dahlan Kampus 1,"<span itemprop=""address"">Jalan Mawar IV, RW.No80-81, Baciro, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",4,4
RedDoorz Syariah @ Lempuyangan,"<span itemprop=""address"">Jl. Tunjung Baru No.1Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",5,20
D'Paragon UPN,"<span itemprop=""address"">Jl. Pintu Selatan UPN, Ngropoh, Condongcatur, Depok, Sleman, DI Yogyakarta, Indonesia</span>",2,6
RedDoorz Syariah @ Babadan Baru Jakal,"<span itemprop=""address"">Gg. Anggrek II No. 15A Babadanbaru, Kentungan, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",23,23
Hotel Desa Puri Syariah,"<span itemprop=""address"">Jl. Wonosari KM 6,7 No.272, Wirono, Baturetno, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta, Indonesia</span>",20,40
House Acasia Syariah,"<span itemprop=""address"">Jalan West Lake RT03/RW24 Desa Wisata Bedog Ringroad Barat, Baturan, Kec. Gamping, Kab. Sleman</span>",4,4
RedDoorz near Babarsari 2,"<span itemprop=""address"">Jl. Utama Pugeran Gang Garuda RT 09 RW 11 No. 18A, RT RW 65, Karangnongko, Maguwoharjo, Depok, Sleman, Yogyakarta Seturan, Yogyakarta, Indonesia</span>",8,8
Grand Inna Malioboro,"<span itemprop=""address"">Jl. Malioboro No.60, Suryatmajan, Danurejan, Yogyakarta</span>",24,24
Cordia Hotel Yogyakarta,"<span itemprop=""address"">Arrival Terminal - Yogyakarta International Airport (YIA), Jl. Wates - Purworejo KM 42, Logede, Glagah, Temon, Kulon Progo, Yogyakarta, Indonesia</span>",4,4
RedDoorz near Affandi Gejayan 2,"<span itemprop=""address"">Jalan tantular 107 b, Puren, Pringwulung, Condongcatur, DI Yogyakarta</span>",20,20
RedDoorz near Kusumanegara Area,"<span itemprop=""address"">Jalan Professor Doktor Soepomo Sh, No.14, Warungboto, Kec. Umbulharjo, Yogyakarta, DI Yogyakarta</span>",20,40
D'Paragon Flamboyan,"<span itemprop=""address"">Jl. Flamboyan No. 23, Santren, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,6
RedDoorz Plus near Adisucipto Airport 2,"<span itemprop=""address"">Jl. Stasiun Kembang Baru No.3, Maguwoharjo, Yogyakarta, Indonesia</span>",7,7
Arkana Seturan,"<span itemprop=""address"">Jl. Seturan Raya No.399, Ngropoh, Condongcatur, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",2,2
RedDoorz @ Jalan Wonosari KM.9,"<span itemprop=""address"">Jalan Wonosari No.Km 9 No 88, Kalangan, Baturetno, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",9,9
RedDoorz Plus near Stadion Mandala Krida,"<span itemprop=""address"">Jl. Kenari No.3B, Semaki, Umbulharjo, Yogyakarta, Indonesia</span>",9,27
Horison Ultima Riss Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Gowongan Kidul No.33-49, Tugu Jogja, Yogyakarta, Indonesia</span>",6,6
Liberta Malioboro,"<span itemprop=""address"">Jl. Pringgokusuman No. 17, Gedong Tengen, Malioboro, D.I Yogyakarta, Indonesia</span>",26,26
Hotel di Jogja,,0,0
Patra Malioboro Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No.35, Sosromenduran, Gedong Tengen, Yogyakarta, Indonesia</span>",12,24
Apartemen Malioboro City Regency,"<span itemprop=""address""> Jl. Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Janti, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,2
RedDoorz @ Seturan Raya,"<span itemprop=""address"">Jl. Seturan Raya No.5A, Caturtunggal, Depok, Yogyakarta, Indonesia</span>",7,14
