nama_hotel,alamat_hotel,jumlah_kamar
D'Kaliurang Resort & Convention,"<span itemprop=""address"">Jl. Boyong Kaliurang Barat, Bojong, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",7
RedDoorz @ Jalan Parangtritis,"<span itemprop=""address"">Jl. Parangtritis No.319, Saman, Bangunharjo, Sewon, Yogyakarta, Indonesia</span>",10
Hotel di Jogja,,1
D'Paragon Tambak Boyo,"<span itemprop=""address"">Jl. Merpati, No. 98 Mancasan Lor, Ngringin, Condongcatur, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",3
RedDoorz Plus near STIE YKPN,"<span itemprop=""address"">Jl. Waringinsari 5 No.1, Condongcatur, Seturan, Yogyakarta, Indonesia</span>",10
RedDoorz near Sleman City Hall 2,"<span itemprop=""address"">Jl. Gito Gati No.1, Penggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",7
RedDoorz near Affandi Gejayan 2,"<span itemprop=""address"">Jalan tantular 107 b, Puren, Pringwulung, Condongcatur, DI Yogyakarta</span>",21
RedDoorz near Terminal Condong Catur,"<span itemprop=""address"">Jl. Anggajaya I No. 268 A, Sanggarahan, Condong Catur, Yogyakarta, Indonesia</span>",17
RedDoorz @ Sagan Jogja 2,"<span itemprop=""address"">Jl. Prof. Dr. Yohanes No.1060, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",13
RedDoorz near AMIKOM Yogyakarta 2,"<span itemprop=""address"">Jalan Sepakbola No 46, Gropoh, Depok, Sleman, D.I Yogyakarta</span>",15
RedDoorz Plus @ Tegal Panggung,"<span itemprop=""address"">Jl. Tegal Panggung No.42, Tegal Panggung, Danurejan, Kota Yogyakarta </span>",9
Hotel Unisi Yogyakarta Syariah,"<span itemprop=""address"">Jl. Pasar Kembang No.42, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",9
RedDoorz near Kusumanegara Area,"<span itemprop=""address"">Jalan Professor Doktor Soepomo Sh, No.14, Warungboto, Kec. Umbulharjo, Yogyakarta, DI Yogyakarta</span>",21
Home Addicts Yogya,"<span itemprop=""address"">Jl. Nakulo No. 2, Wirobrajan, Yogyakarta, Indonesia</span>",13
RedDoorz Syariah near Taman Pelangi Monjali,"<span itemprop=""address"">Jalan Kapas No. 100 Jongkang RT/RW 06/36 Sariharjo Ngaglik Sleman, DI Yogyakarta</span>",7
Duta Garden Hotel,"<span itemprop=""address"">Timuran MG.III/103, Mergangsan, Yogyakarta, Yogyakarta Province, Indonesia</span>",7
Delta Homestay,"<span itemprop=""address"">Jl. Prawirotaman MG.III, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",7
De Hostel Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman 1, Gang Batik Gringsing No. 1, Prawirotaman, Yogyakarta, Indonesia</span>",2
JJ House Gejayan,"<span itemprop=""address"">Jl. Affandi gg. Bayu No.8, Condong Catur, Yogyakarta</span>",4
Grand Serela Yogyakarta by KAGUM Hotels,"<span itemprop=""address"">Jl. Magelang KM.4 No.145, Yogyakarta, Indonesia</span>",17
